"Postcode","Number","Name","Population","Firestations_in_postcode","Building_fires","Total_fires","Total_casualties","Persons_rescued","Persons_evacuated","Year_ending"
2551,286,"Eden",3450,1,7,28,2,0,0,2005
2560,87,"Rosemeadow",72235,2,38,396,6,1,9,2005
2560,88,"Campbelltown",72235,2,52,752,10,0,163,2005
2564,84,"Macquarie Fields",13375,1,33,395,3,0,8,2005
2565,79,"Ingleburn",16589,1,19,250,3,0,1,2005
2566,92,"St Andrews",24044,1,51,583,11,0,29,2005
2567,93,"Narellen",33965,1,15,119,3,0,6,2005
2570,248,"Camden",28344,1,11,76,1,0,0,2005
2571,421,"Picton",10142,1,9,36,3,2,0,2005
2575,378,"Mittagong",14031,1,8,57,4,0,0,2005
2576,234,"Bowral",12709,1,11,40,0,0,0,2005
2577,385,"Moss Vale",14651,1,14,57,1,0,0,2005
2578,242,"Bundanoon",2417,1,3,15,0,0,0,2005
2580,305,"Goulburn",27112,1,29,108,6,0,26,2005
2582,511,"Yass",11512,1,8,31,1,0,0,2005
2583,271,"Crookwell",3999,1,4,7,0,0,20,2005
2586,232,"Boorowa",2724,1,6,11,0,5,12,2005
2587,389,"Harden",2829,1,3,12,0,0,0,2005
2590,266,"Cootamundra",7109,1,15,39,4,0,0,2005
2594,513,"Young",11455,1,14,45,1,0,0,2005
2622,236,"Braidwood",3260,1,3,6,0,0,0,2005
2625,451,"Thredbo",470,1,3,6,0,0,0,2005
2627,338,"Jindabyne",4398,1,3,12,0,0,0,2005
2630,263,"Cooma",8330,1,10,32,4,0,0,2005
2632,230,"Bombala",1662,1,1,1,0,0,0,2005
2640,203,"Albury Central",33707,2,44,180,10,1,7,2005
2640,209,"Albury Civic",33707,2,7,82,1,0,0,2005
2641,206,"Albury North",14313,1,4,57,0,0,0,2005
2644,324,"Holbrook",2593,1,1,14,0,0,0,2005
2646,268,"Corowa",6791,1,8,59,1,0,40,2005
2647,394,"Mulwala",1903,1,2,17,0,0,0,2005
2648,494,"Wentworth",2501,1,6,13,0,1,1,2005
2650,480,"Wagga Wagga",53974,1,4,94,0,0,0,2005
2653,466,"Tumbarumba",2334,1,6,11,0,0,0,2005
2656,365,"Lockhart",1297,1,4,5,0,0,0,2005
2658,322,"Henty",1442,1,0,3,0,0,0,2005
2660,272,"Culcairn",1663,1,0,5,0,0,0,2005
2663,337,"Junee",4578,1,5,30,0,0,0,2005
2666,456,"Temora",5059,1,5,26,0,0,0,2005
2671,499,"West Wyalong",3891,1,7,29,2,0,8,2005
2672,355,"Lake Cargelligo",1475,1,5,10,0,0,0,2005
2675,323,"Hillston",1431,1,6,10,0,0,0,2005
2680,311,"Griffith",22687,1,25,132,3,0,11,2005
2681,512,"Yenda",1638,1,3,7,0,0,2,2005
2700,400,"Narrandera",4872,1,10,30,2,1,0,2005
2701,262,"Coolamon",2433,1,1,8,0,0,0,2005
2705,360,"Leeton",10013,1,14,47,1,1,4,2005
2710,278,"Deniliquin",9834,1,27,74,0,0,0,2005
2711,321,"Hay",3293,1,4,14,0,0,0,2005
2712,223,"Berrigan",1409,1,0,3,0,0,0,2005
2713,293,"Finley",3080,1,3,9,0,0,0,2005
2714,463,"Tocumwal",2384,1,2,14,0,0,0,2005
2715,212,"Balranald",1624,1,3,7,0,0,0,2005
2716,336,"Jerilderie",1070,1,1,1,0,0,0,2005
2720,467,"Tumut",7822,1,10,27,2,0,0,2005
2722,313,"Gundagai",2978,1,2,12,0,0,0,2005
2730,218,"Batlow",1423,1,2,8,0,0,0,2005
2731,379,"Moama",5561,1,0,7,0,0,0,2005
2732,214,"Barham",1858,1,0,1,0,0,0,2005
2745,102,"Regentville",26233,1,26,221,3,0,44,2005
2750,86,"Penrith",42587,1,50,490,4,7,63,2005
2752,489,"Warragamba",4675,1,2,38,0,0,0,2005
2753,82,"Richmond",17082,1,23,120,1,0,0,2005
2756,81,"Windsor",32296,1,21,153,5,1,17,2005
2760,78,"Dunheved",27032,2,40,564,2,1,6,2005
2760,77,"St Marys",27032,2,63,446,12,2,52,2005
2762,96,"Schofields",3812,1,33,167,7,0,2,2005
2765,83,"Riverstone",14841,1,12,132,2,1,8,2005
2767,63,"Blacktown",19505,1,55,446,9,1,289,2005
2770,32,"Mount Druitt",60345,1,76,730,7,3,23,2005
2773,301,"Glenbrook",5856,1,7,45,0,0,0,2005
2777,445,"Springwood",17782,1,12,80,0,0,49,2005
2780,343,"Katoomba",12920,2,17,49,5,0,6,2005
2780,361,"Leura",12920,2,1,5,0,0,0,2005
2782,495,"Wentworth Falls",5935,1,6,24,1,0,0,2005
2783,359,"Lawson",2886,1,8,45,0,0,7,2005
2785,226,"Blackheath",4570,1,2,15,0,0,0,2005
2786,386,"Mt Victoria",994,1,4,15,11,0,9,2005
2787,411,"Oberon",4233,1,6,12,2,0,10,2005
2790,364,"Lithgow West",14815,2,4,28,4,0,2,2005
2790,363,"Lithgow",14815,2,6,22,5,0,0,2005
2794,270,"Cowra",10002,1,13,82,0,3,3,2005
2795,105,"Kelso",39879,2,6,55,1,0,46,2005
2795,216,"Bathurst",39879,2,43,149,3,3,186,2005
2799,227,"Blayney",3841,1,12,25,0,0,0,2005
2800,412,"Orange",41363,1,46,271,4,0,32,2005
2804,250,"Canowindra",2623,1,5,12,1,0,0,2005
2810,308,"Grenfell",2975,1,2,10,0,0,0,2005
2820,493,"Wellington",7878,1,13,71,0,0,0,2005
2821,401,"Narromine",4943,1,5,26,1,0,1,2005
2823,465,"Trangie",1405,1,3,4,0,0,0,2005
2824,491,"Warren",2323,1,5,24,2,0,0,2005
2825,406,"Nyngan",2688,1,0,17,1,0,0,2005
2827,300,"Gilgandra",3586,1,8,30,2,0,0,2005
2829,265,"Coonamble",3177,1,7,104,4,1,0,2005
2830,284,"Delroy",37737,2,18,162,0,0,0,2005
2830,280,"Dubbo",37737,2,65,311,12,4,477,2005
2832,482,"Walgett",2746,1,12,69,0,0,2,2005
2834,367,"Lightning Ridge",2491,1,7,29,3,0,4,2005
2835,256,"Cobar",4240,1,4,25,0,0,0,2005
2839,244,"Brewarrina",1413,1,4,25,0,0,25,2005
2840,233,"Bourke",2867,1,19,252,0,0,5,2005
2843,261,"Coolah",1279,1,3,6,11,0,5,2005
2844,281,"Dunedoo",1429,1,4,5,0,0,0,2005
2845,483,"Wallerawang",1904,1,3,9,0,0,0,2005
2847,423,"Portland",2307,1,1,5,0,0,0,2005
2848,342,"Kandos",1727,1,1,9,0,0,0,2005
2850,387,"Mudgee",15946,1,14,48,0,0,49,2005
2852,312,"Gulgong",3357,1,3,15,0,0,3,2005
2866,380,"Molong",2799,1,2,6,0,0,0,2005
2869,419,"Peak Hill",1478,1,1,11,1,0,0,2005
2870,417,"Parkes",12219,1,10,59,0,0,0,2005
2871,294,"Forbes",8890,1,8,26,1,0,0,2005
2877,259,"Condobolin",4120,1,12,26,3,2,3,2005
2880,239,"Broken Hill South",19213,2,2,12,0,0,0,2005
2880,238,"Broken Hill",19213,2,32,95,4,1,27,2005
2000,3,"The Rocks",22758,2,41,95,4,1,869,2004
2000,1,"City of Sydney",22758,2,93,216,15,5,1832,2004
2009,38,"Pyrmont",11617,1,22,57,0,0,5,2004
2010,4,"Darlinghurst",25404,1,92,198,10,4,813,2004
2015,13,"Alexandria",8427,1,64,146,7,4,120,2004
2016,10,"Redfern",12033,1,126,304,61,37,329,2004
2019,35,"Botany",8900,1,20,71,1,0,0,2004
2020,26,"Mascot",10178,1,31,78,4,2,566,2004
2025,11,"Woollahra",7182,1,63,124,7,2,216,2004
2026,76,"Bondi",30396,1,74,152,3,1,518,2004
2031,39,"Randwick",32321,1,70,130,9,2,421,2004
2035,70,"Maroubra",33234,1,37,92,3,0,5,2004
2036,56,"Matraville",26896,1,50,166,8,4,174,2004
2037,18,"Glebe",13842,1,38,122,2,0,258,2004
2040,22,"Leichhardt",20861,1,36,133,2,2,18,2004
2041,12,"Balmain",14753,1,16,54,0,0,0,2004
2042,5,"Newtown",17720,1,44,146,5,0,173,2004
2047,17,"Drummoyne",11378,1,26,77,8,3,78,2004
2064,61,"Lane Cove",8641,1,30,91,3,0,57,2004
2065,36,"Crows Nest",27175,1,32,80,5,2,178,2004
2068,40,"Willoughby",15870,1,38,103,1,2,105,2004
2073,37,"Gordon",15736,1,52,150,8,0,19,2004
2077,50,"Hornsby",34898,1,35,142,3,0,25,2004
2081,75,"Berowra",5166,1,3,54,1,0,0,2004
2087,51,"Forestville",12290,1,23,129,6,0,30,2004
2088,25,"Mosman",27452,1,25,72,7,0,227,2004
2089,53,"Neutral Bay",11082,1,31,51,1,0,125,2004
2095,24,"Manly",15074,1,33,156,14,9,52,2004
2099,69,"Dee Why",36685,1,29,147,1,2,15,2004
2101,68,"Narrabeen",17980,1,20,108,3,0,14,2004
2103,6,"Mona Vale",10164,1,22,80,0,0,0,2004
2107,60,"Avalon",14464,1,12,68,1,0,1,2004
2111,23,"Gladesville",13424,1,18,61,3,0,16,2004
2112,42,"Ryde",27771,1,30,113,5,0,14,2004
2116,65,"Rydalmere",6218,1,40,158,11,0,41,2004
2119,58,"Beecroft",10903,1,30,126,1,0,0,2004
2122,59,"Eastwood",28545,1,33,147,5,0,40,2004
2131,14,"Ashfield",22190,1,65,134,12,5,305,2004
2134,15,"Burwood",12468,1,49,171,9,0,53,2004
2135,16,"Concord",23097,1,24,113,1,0,181,2004
2138,66,"Rhodes",13519,1,0,9,0,0,0,2004
2141,30,"Lidcombe",25479,1,42,201,5,2,429,2004
2144,19,"Silverwater",33123,1,36,152,3,0,42,2004
2145,57,"Wentworthville",71312,1,52,217,9,0,28,2004
2147,43,"Seven Hills",35074,1,72,451,12,4,65,2004
2148,97,"Huntingwood",58671,1,20,238,3,0,82,2004
2150,27,"Parramatta",24811,1,65,261,8,7,47,2004
2152,67,"Northmead",10224,1,45,173,4,0,378,2004
2154,71,"Castle Hill",37914,1,45,227,9,0,243,2004
2155,94,"Kellyville",44028,1,21,80,2,0,7,2004
2160,72,"Merrylands",32845,1,25,97,3,0,114,2004
2161,55,"Guildford",28269,1,51,171,12,2,14,2004
2162,85,"Chester Hill",16989,1,46,181,7,9,215,2004
2164,41,"Smithfield",18365,1,47,269,6,0,73,2004
2165,73,"Fairfield",39513,1,38,135,7,0,63,2004
2166,49,"Cabramatta",49723,1,57,270,5,0,191,2004
2168,31,"Busby",41911,1,77,623,10,3,155,2004
2170,8,"Liverpool",95042,1,54,356,4,0,39,2004
2171,7,"Horningsea Park",24390,1,19,124,1,0,5,2004
2177,101,"Bonnyrigg Heights",15188,1,36,267,12,1,5,2004
2194,52,"Campsie",21218,1,39,176,4,9,22,2004
2195,64,"Lakemba",25208,1,64,323,13,1,107,2004
2200,62,"Bankstown",40611,1,86,375,12,1,158,2004
2204,28,"Marrickville",24611,1,48,182,9,0,33,2004
2210,34,"Riverwood",28012,1,50,193,4,0,35,2004
2212,47,"Revesby",14298,1,58,316,22,1,74,2004
2216,29,"Rockdale",26060,1,49,183,6,2,247,2004
2217,21,"Kogarah",23624,1,28,103,5,1,265,2004
2220,20,"Hurstville",28432,1,48,117,9,2,336,2004
2223,48,"Mortdale",19805,1,16,69,1,0,6,2004
2228,45,"Miranda",17601,1,46,146,8,1,49,2004
2230,54,"Cronulla",26976,2,30,93,3,2,131,2004
2230,80,"Bundeena",26976,2,2,8,2,2,2,2004
2232,46,"Sutherland",31260,1,28,120,3,0,3,2004
2233,33,"Engadine",29306,1,13,59,2,1,2,2004
2234,90,"Menai",30829,1,10,93,2,0,0,2004
2250,509,"Wyoming",65633,3,31,203,7,5,28,2004
2250,341,"Kariong",65633,3,13,48,0,0,0,2004
2250,304,"Gosford",65633,3,34,125,5,1,41,2004
2251,450,"Saratoga",31836,1,8,63,3,1,0,2004
2257,340,"Umina",27647,1,26,165,9,1,0,2004
2259,505,"Wyong",53994,2,20,153,5,0,6,2004
2260,459,"Terrigal",21788,1,17,76,3,1,8,2004
2261,351,"Bateau Bay",51003,3,20,179,2,0,8,2004
2261,460,"The Entrance",51003,3,14,68,3,0,0,2004
2261,228,"Berkeley Vale",51003,3,13,96,2,2,2,2004
2262,245,"Budgewoi",20153,2,5,87,1,0,0,2004
2262,292,"Doyalson",20153,2,18,124,1,1,1,2004
2263,470,"Toukley",22379,1,12,141,2,0,8,2004
2264,383,"Morisset",13120,1,11,79,2,2,2,2004
2267,485,"Wangi Wangi",2668,1,6,51,1,0,0,2004
2280,222,"Belmont",26595,1,14,145,0,0,5,2004
2281,447,"Swansea",13417,1,10,92,2,0,250,2004
2283,464,"Toronto",23078,1,21,151,4,0,0,2004
2284,231,"Boolaroo",10465,2,5,26,0,0,0,2004
2284,458,"Teralba",10465,2,7,45,2,2,4,2004
2285,251,"Cardiff",27798,1,22,223,1,0,1500,2004
2286,498,"West Wallsend",3449,1,8,110,0,0,0,2004
2287,377,"Minmi",33274,2,1,42,1,0,0,2004
2287,484,"Wallsend",33274,2,16,114,0,0,0,2004
2290,255,"Charlestown",32178,2,26,226,1,0,0,2004
2290,500,"Tingira Heights",32178,2,20,260,0,0,0,2004
2291,376,"Merewether",13399,1,4,22,0,0,0,2004
2294,252,"Carrington",1875,1,4,21,0,0,0,2004
2295,446,"Stockton",5823,1,5,33,3,3,20,2004
2298,486,"Waratah",9442,1,24,96,5,4,171,2004
2300,260,"Newcastle",10083,1,38,120,5,0,170,2004
2303,320,"Hamilton",9005,1,37,95,22,0,56,2004
2304,462,"Mayfield West",14969,1,20,67,0,0,40,2004
2305,404,"New Lambton",11941,1,13,44,3,0,0,2004
2315,402,"Nelson Bay",13380,1,10,42,7,0,1267,2004
2320,374,"Maitland",29289,2,8,75,0,0,25,2004
2320,455,"Telarah",29289,2,15,82,0,0,3,2004
2321,382,"Morpeth",10926,1,5,31,2,1,2,2004
2322,454,"Tarro",16681,1,14,121,5,1,0,2004
2323,373,"East Maitland",24735,1,29,121,5,0,0,2004
2324,471,"Tea Gardens",22534,2,6,14,9,1,0,2004
2324,432,"Raymond Terrace",22534,2,19,132,6,0,9,2004
2325,418,"Paxton",26224,4,2,27,0,0,0,2004
2325,254,"Cessnock",26224,4,27,197,2,0,103,2004
2325,220,"Bellbird",26224,4,4,34,0,0,0,2004
2325,344,"Kearsley",26224,4,1,12,0,0,0,2004
2326,202,"Abermain",7171,2,2,23,0,0,0,2004
2326,497,"Weston",7171,2,7,81,0,0,140,2004
2327,349,"Kurri Kurri",7359,1,14,99,2,1,15,2004
2328,283,"Denman",2553,1,2,5,0,0,0,2004
2329,393,"Merriwa",2142,1,4,10,0,0,60,2004
2330,444,"Singleton",20458,1,9,69,3,0,2,2004
2333,392,"Muswellbrook",13240,1,17,81,2,0,14,2004
2335,237,"Branxton Greta",5430,1,11,42,1,0,0,2004
2336,208,"Aberdeen",2341,1,0,6,0,0,0,2004
2337,443,"Scone",7735,1,6,15,1,0,0,2004
2338,390,"Murrurundi",1536,1,0,2,0,0,0,2004
2340,452,"Tamworth",45700,2,41,128,3,1,315,2004
2340,508,"West Tamworth",45700,2,11,74,1,0,0,2004
2341,496,"Werris Creek",1727,1,0,2,0,0,0,2004
2343,429,"Quirindi",4526,1,5,7,0,0,0,2004
2346,375,"Manilla",2810,1,2,2,0,0,0,2004
2347,215,"Barraba",1879,1,2,4,0,0,0,2004
2350,205,"Armidale",24474,1,44,185,6,2,5,2004
2354,481,"Walcha",3520,1,2,3,0,0,0,2004
2357,264,"Coonabarabran",4364,1,5,24,2,0,0,2004
2358,475,"Uralla",4043,1,3,5,0,0,0,2004
2360,331,"Inverell",14496,1,18,91,0,0,356,2004
2365,315,"Guyra",3410,1,0,2,0,0,0,2004
2370,302,"Glen Innes",7556,1,18,51,3,0,3,2004
2372,457,"Tenterfield",4971,1,7,23,1,0,0,2004
2380,314,"Gunnedah",10138,1,13,41,0,0,0,2004
2382,229,"Boggabri",1191,1,6,11,1,1,1,2004
2388,506,"Wee Waa",3090,1,8,14,0,0,25,2004
2390,399,"Narrabri",8243,1,10,38,2,0,117,2004
2400,381,"Moree",10215,1,34,319,3,0,8,2004
2402,487,"Warialda",1912,1,4,12,0,0,1,2004
2404,225,"Bingara",1785,1,3,6,0,0,0,2004
2420,282,"Dungog",4066,1,0,15,1,0,0,2004
2422,303,"Gloucester",5217,1,4,9,0,0,3,2004
2428,295,"Forster",22699,1,18,156,1,0,3,2004
2429,502,"Wingham",9250,1,3,27,0,0,0,2004
2430,453,"Taree",32568,1,20,220,4,4,124,2004
2431,449,"South West Rocks",4953,1,6,23,0,0,0,2004
2440,345,"Kempsey",21373,1,37,328,9,0,440,2004
2443,358,"Laurieton",8849,1,1,15,0,0,0,2004
2444,424,"Port Macquarie",42618,1,25,158,0,0,4,2004
2446,492,"Wauchope",12527,1,6,38,0,0,10,2004
2447,371,"Macksville",6811,1,11,37,7,1,15,2004
2448,397,"Nambucca Heads",8702,1,3,35,0,0,0,2004
2449,235,"Bowraville",2324,1,7,36,0,0,0,2004
2450,257,"Coffs Harbour",38299,1,26,198,6,1,20,2004
2452,441,"Sawtell",15011,1,4,112,0,0,9,2004
2453,279,"Dorrigo",2706,1,1,9,0,0,0,2004
2454,221,"Bellingen",7350,1,1,7,0,0,0,2004
2455,476,"Urunga",3022,1,4,26,0,0,0,2004
2456,507,"Woolgoolga",13580,1,6,76,1,0,0,2004
2460,307,"South Grafton",28593,2,9,57,4,30,0,2004
2460,306,"Grafton",28593,2,10,56,0,0,14,2004
2463,372,"Maclean",7146,1,1,6,0,0,0,2004
2464,510,"Yamba",6682,1,5,28,0,0,0,2004
2470,253,"Casino",14549,1,19,92,1,0,0,2004
2471,267,"Coraki",2579,1,1,66,0,0,0,2004
2473,288,"Evans Head",2968,1,7,22,0,0,0,2004
2474,350,"Kyogle",6386,1,7,21,0,0,0,2004
2477,204,"Alstonville",11247,1,5,8,0,0,0,2004
2478,211,"Ballina",26770,1,11,60,4,0,0,2004
2479,213,"Bangalow",4540,1,1,6,2,1,2,2004
2480,316,"Goonellabah",44394,2,7,82,3,0,0,2004
2480,362,"Lismore",44394,2,16,84,2,0,16,2004
2481,243,"Byron Bay",10701,1,10,39,0,0,6,2004
2482,388,"Mullumbimby",5750,1,4,17,0,0,0,2004
2483,240,"Brunswick Heads",10032,1,7,23,1,0,0,2004
2484,391,"Murwillumbah",18050,1,8,42,1,0,50,2004
2485,468,"Tweed Heads",13349,1,21,91,9,1,128,2004
2486,514,"Tweed River",30593,1,2,75,0,0,0,2004
2487,347,"Kingscliff",11193,1,10,54,7,1,2,2004
2500,503,"Wollongong",37081,1,89,242,8,2,185,2004
2502,422,"Warrawong",11707,1,35,421,4,1,55,2004
2508,325,"Helensburg",8652,1,7,39,0,0,0,2004
2515,461,"Thirroul",10385,3,2,18,0,0,1,2004
2515,442,"Scarborough",10385,3,1,10,0,0,0,2004
2515,258,"Coledale",10385,3,0,10,1,1,0,2004
2516,241,"Bulli",5671,1,7,87,0,0,4,2004
2518,269,"Corrimal",18613,1,13,118,1,0,1,2004
2519,210,"Balgownie",16241,1,8,67,5,0,6,2004
2526,474,"Unanderra",15831,1,13,247,0,0,0,2004
2527,207,"Albion Park Rail",20614,1,10,135,0,0,0,2004
2529,488,"Shellharbour",22309,1,24,246,3,1,274,2004
2530,277,"Dapto",29720,1,21,190,2,0,5,2004
2533,346,"Kiama",14938,1,16,63,1,0,0,2004
2535,224,"Berry",6997,1,2,10,0,0,0,2004
2536,217,"Batemans Bay",17466,1,15,68,0,0,0,2004
2537,384,"Moruya",10908,1,6,39,1,0,0,2004
2539,477,"Ulladulla",16525,1,6,66,0,0,0,2004
2541,405,"Nowra",24143,1,62,281,10,0,20,2004
2546,398,"Narooma",8791,1,4,24,1,1,2,2004
2548,395,"Merimbula",6875,1,5,19,0,0,0,2004
2550,219,"Bega",15692,1,6,20,1,0,0,2004
2551,286,"Eden",3450,1,2,29,0,0,0,2004
2560,87,"Rosemeadow",72235,2,21,289,0,0,21,2004
2560,88,"Campbelltown",72235,2,60,608,26,2,337,2004
2564,84,"Macquarie Fields",13375,1,44,286,6,0,2,2004
2565,79,"Ingleburn",16589,1,19,189,9,0,22,2004
2566,92,"St Andrews",24044,1,53,502,17,2,199,2004
2567,93,"Narellen",33965,1,12,99,0,0,0,2004
2570,248,"Camden",28344,1,14,107,2,0,66,2004
2571,421,"Picton",10142,1,18,49,7,0,6,2004
2575,378,"Mittagong",14031,1,9,72,2,0,0,2004
2576,234,"Bowral",12709,1,10,50,1,0,1,2004
2577,385,"Moss Vale",14651,1,17,59,3,0,7,2004
2578,242,"Bundanoon",2417,1,1,10,0,0,0,2004
2580,305,"Goulburn",27112,1,26,83,5,0,159,2004
2582,511,"Yass",11512,1,7,23,1,0,0,2004
2583,271,"Crookwell",3999,1,3,6,0,0,0,2004
2586,232,"Boorowa",2724,1,3,6,1,0,0,2004
2587,389,"Harden",2829,1,5,23,0,0,0,2004
2590,266,"Cootamundra",7109,1,16,29,1,0,0,2004
2594,513,"Young",11455,1,14,44,0,0,0,2004
2622,236,"Braidwood",3260,1,1,4,0,0,0,2004
2625,451,"Thredbo",470,1,5,10,0,0,0,2004
2627,338,"Jindabyne",4398,1,5,12,1,0,0,2004
2630,263,"Cooma",8330,1,15,32,0,0,8,2004
2632,230,"Bombala",1662,1,2,13,0,0,0,2004
2640,203,"Albury Central",33707,2,37,150,6,1,449,2004
2640,209,"Albury Civic",33707,2,4,94,0,0,0,2004
2641,206,"Albury North",14313,1,9,49,2,0,6,2004
2644,324,"Holbrook",2593,1,3,9,0,0,0,2004
2646,268,"Corowa",6791,1,5,42,0,0,50,2004
2647,394,"Mulwala",1903,1,2,11,0,0,0,2004
2648,494,"Wentworth",2501,1,6,13,1,0,0,2004
2650,480,"Wagga Wagga",53974,1,8,98,1,0,0,2004
2653,466,"Tumbarumba",2334,1,2,9,0,0,0,2004
2656,365,"Lockhart",1297,1,0,1,0,0,0,2004
2658,322,"Henty",1442,1,4,4,0,0,0,2004
2660,272,"Culcairn",1663,1,3,10,0,0,0,2004
2663,337,"Junee",4578,1,7,23,2,0,0,2004
2666,456,"Temora",5059,1,4,16,0,0,0,2004
2671,499,"West Wyalong",3891,1,7,29,6,0,0,2004
2672,355,"Lake Cargelligo",1475,1,5,9,0,0,0,2004
2675,323,"Hillston",1431,1,2,5,0,0,0,2004
2680,311,"Griffith",22687,1,15,134,3,1,24,2004
2681,512,"Yenda",1638,1,2,11,0,0,0,2004
2700,400,"Narrandera",4872,1,12,40,1,0,0,2004
2701,262,"Coolamon",2433,1,4,7,0,0,0,2004
2705,360,"Leeton",10013,1,16,59,1,0,0,2004
2710,278,"Deniliquin",9834,1,32,72,3,0,0,2004
2711,321,"Hay",3293,1,3,6,1,0,0,2004
2712,223,"Berrigan",1409,1,5,8,0,0,0,2004
2713,293,"Finley",3080,1,2,7,0,0,0,2004
2714,463,"Tocumwal",2384,1,3,9,0,0,0,2004
2715,212,"Balranald",1624,1,4,6,0,0,0,2004
2716,336,"Jerilderie",1070,1,4,6,0,0,0,2004
2720,467,"Tumut",7822,1,10,27,0,0,3,2004
2722,313,"Gundagai",2978,1,2,10,2,0,1,2004
2730,218,"Batlow",1423,1,3,4,0,0,0,2004
2731,379,"Moama",5561,1,2,8,0,0,0,2004
2732,214,"Barham",1858,1,4,10,0,0,0,2004
2745,102,"Regentville",26233,1,26,219,9,0,15,2004
2750,86,"Penrith",42587,1,77,549,8,1,421,2004
2752,489,"Warragamba",4675,1,1,37,2,0,0,2004
2753,82,"Richmond",17082,1,33,165,1,0,0,2004
2756,81,"Windsor",32296,1,23,141,4,2,8,2004
2760,78,"Dunheved",27032,2,43,601,7,0,3,2004
2760,77,"St Marys",27032,2,62,459,11,1,79,2004
2762,96,"Schofields",3812,1,34,176,5,0,63,2004
2765,83,"Riverstone",14841,1,13,127,12,1,15,2004
2767,63,"Blacktown",19505,1,58,397,6,0,38,2004
2770,32,"Mount Druitt",60345,1,90,651,10,0,23,2004
2773,301,"Glenbrook",5856,1,8,81,2,0,0,2004
2777,445,"Springwood",17782,1,12,97,9,0,5,2004
2780,343,"Katoomba",12920,2,24,62,4,2,224,2004
2780,361,"Leura",12920,2,0,11,0,0,0,2004
2782,495,"Wentworth Falls",5935,1,6,36,0,0,45,2004
2783,359,"Lawson",2886,1,5,46,3,0,0,2004
2785,226,"Blackheath",4570,1,9,26,0,0,2,2004
2786,386,"Mt Victoria",994,1,5,16,0,0,0,2004
2787,411,"Oberon",4233,1,3,11,0,0,10,2004
2790,364,"Lithgow West",14815,2,5,32,0,0,5,2004
2790,363,"Lithgow",14815,2,7,28,1,0,0,2004
2794,270,"Cowra",10002,1,21,67,4,1,9,2004
2795,105,"Kelso",39879,2,3,24,0,0,0,2004
2795,216,"Bathurst",39879,2,44,186,6,7,37,2004
2799,227,"Blayney",3841,1,7,10,0,0,0,2004
2800,412,"Orange",41363,1,44,274,9,0,18,2004
2804,250,"Canowindra",2623,1,4,11,0,0,0,2004
2810,308,"Grenfell",2975,1,5,11,0,0,0,2004
2820,493,"Wellington",7878,1,8,49,1,0,0,2004
2821,401,"Narromine",4943,1,5,23,0,0,0,2004
2823,465,"Trangie",1405,1,3,13,0,0,0,2004
2824,491,"Warren",2323,1,0,9,0,0,0,2004
2825,406,"Nyngan",2688,1,2,9,0,0,0,2004
2827,300,"Gilgandra",3586,1,5,17,0,0,0,2004
2829,265,"Coonamble",3177,1,3,14,0,0,0,2004
2830,284,"Delroy",37737,2,11,133,0,0,1,2004
2830,280,"Dubbo",37737,2,60,224,7,2,33,2004
2832,482,"Walgett",2746,1,6,49,0,0,0,2004
2834,367,"Lightning Ridge",2491,1,12,26,1,0,0,2004
2835,256,"Cobar",4240,1,6,35,1,0,0,2004
2839,244,"Brewarrina",1413,1,3,23,0,0,0,2004
2840,233,"Bourke",2867,1,7,87,0,0,1,2004
2843,261,"Coolah",1279,1,3,5,0,0,0,2004
2844,281,"Dunedoo",1429,1,3,6,0,0,0,2004
2845,483,"Wallerawang",1904,1,5,19,0,0,0,2004
2847,423,"Portland",2307,1,1,24,0,0,0,2004
2848,342,"Kandos",1727,1,6,13,0,0,5,2004
2850,387,"Mudgee",15946,1,9,41,1,1,0,2004
2852,312,"Gulgong",3357,1,7,23,2,0,22,2004
2866,380,"Molong",2799,1,1,6,0,0,0,2004
2869,419,"Peak Hill",1478,1,2,21,0,0,0,2004
2870,417,"Parkes",12219,1,5,56,5,0,0,2004
2871,294,"Forbes",8890,1,9,26,0,0,28,2004
2877,259,"Condobolin",4120,1,8,27,0,0,0,2004
2880,239,"Broken Hill South",19213,2,1,19,0,0,0,2004
2880,238,"Broken Hill",19213,2,33,113,9,1,113,2004
